county_st,medoid
Apache AZ,Riverside CA
Cochise AZ,Riverside CA
Coconino AZ,Riverside CA
Graham AZ,Riverside CA
Greenlee AZ,Riverside CA
La Paz AZ,Riverside CA
Mohave AZ,Riverside CA
Navajo AZ,Riverside CA
Pima AZ,Riverside CA
Pinal AZ,Riverside CA
Santa Cruz AZ,Riverside CA
Yavapai AZ,Riverside CA
Yuma AZ,Riverside CA
Alpine CA,Riverside CA
Amador CA,Riverside CA
Butte CA,Riverside CA
Calaveras CA,Riverside CA
Colusa CA,Riverside CA
Contra Costa CA,Riverside CA
Del Norte CA,Riverside CA
El Dorado CA,Riverside CA
Humboldt CA,Riverside CA
Imperial CA,Riverside CA
Inyo CA,Riverside CA
Kern CA,Riverside CA
Lassen CA,Riverside CA
Marin CA,Riverside CA
Mariposa CA,Riverside CA
Mendocino CA,Riverside CA
Merced CA,Riverside CA
Modoc CA,Riverside CA
Mono CA,Riverside CA
Nevada CA,Riverside CA
Placer CA,Riverside CA
Plumas CA,Riverside CA
Riverside CA,Riverside CA
San Benito CA,Riverside CA
San Luis Obispo CA,Riverside CA
San Mateo CA,Riverside CA
Santa Clara CA,Riverside CA
Santa Cruz CA,Riverside CA
Sierra CA,Riverside CA
Siskiyou CA,Riverside CA
Sonoma CA,Riverside CA
Sutter CA,Riverside CA
Tehama CA,Riverside CA
Trinity CA,Riverside CA
Tulare CA,Riverside CA
Tuolumne CA,Riverside CA
Ventura CA,Riverside CA
Yuba CA,Riverside CA
Adams CO,Riverside CA
Alamosa CO,Riverside CA
Arapahoe CO,Riverside CA
Archuleta CO,Riverside CA
Baca CO,Riverside CA
Boulder CO,Riverside CA
Broomfield CO,Riverside CA
Chaffee CO,Riverside CA
Cheyenne CO,Riverside CA
Clear Creek CO,Riverside CA
Conejos CO,Riverside CA
Costilla CO,Riverside CA
Custer CO,Riverside CA
Delta CO,Riverside CA
Dolores CO,Riverside CA
Douglas CO,Riverside CA
Eagle CO,Riverside CA
El Paso CO,Riverside CA
Elbert CO,Riverside CA
Garfield CO,Riverside CA
Gilpin CO,Riverside CA
Grand CO,Riverside CA
Hinsdale CO,Riverside CA
Huerfano CO,Riverside CA
Jackson CO,Riverside CA
Jefferson CO,Riverside CA
Kiowa CO,Riverside CA
Kit Carson CO,Riverside CA
La Plata CO,Riverside CA
Lake CO,Riverside CA
Las Animas CO,Riverside CA
Logan CO,Riverside CA
Mineral CO,Riverside CA
Moffat CO,Riverside CA
Montezuma CO,Riverside CA
Montrose CO,Riverside CA
Morgan CO,Riverside CA
Otero CO,Riverside CA
Ouray CO,Riverside CA
Park CO,Riverside CA
Phillips CO,Riverside CA
Pitkin CO,Riverside CA
Prowers CO,Riverside CA
Pueblo CO,Riverside CA
Rio Blanco CO,Riverside CA
Rio Grande CO,Riverside CA
Routt CO,Riverside CA
Saguache CO,Riverside CA
San Juan CO,Riverside CA
San Miguel CO,Riverside CA
Sedgwick CO,Riverside CA
Summit CO,Riverside CA
Teller CO,Riverside CA
Washington CO,Riverside CA
Weld CO,Riverside CA
Yuma CO,Riverside CA
Ada ID,Riverside CA
Adams ID,Riverside CA
Bannock ID,Riverside CA
Bear Lake ID,Riverside CA
Bingham ID,Riverside CA
Blaine ID,Riverside CA
Boise ID,Riverside CA
Bonner ID,Riverside CA
Bonneville ID,Riverside CA
Boundary ID,Riverside CA
Butte ID,Riverside CA
Camas ID,Riverside CA
Canyon ID,Riverside CA
Caribou ID,Riverside CA
Clark ID,Riverside CA
Custer ID,Riverside CA
Franklin ID,Riverside CA
Fremont ID,Riverside CA
Gem ID,Riverside CA
Gooding ID,Riverside CA
Idaho ID,Riverside CA
Jefferson ID,Riverside CA
Kootenai ID,Riverside CA
Latah ID,Riverside CA
Lemhi ID,Riverside CA
Lewis ID,Riverside CA
Lincoln ID,Riverside CA
Minidoka ID,Riverside CA
Nez Perce ID,Riverside CA
Oneida ID,Riverside CA
Owyhee ID,Riverside CA
Payette ID,Riverside CA
Power ID,Riverside CA
Shoshone ID,Riverside CA
Teton ID,Riverside CA
Valley ID,Riverside CA
Beaverhead MT,Riverside CA
Big Horn MT,Riverside CA
Blaine MT,Riverside CA
Broadwater MT,Riverside CA
Carbon MT,Riverside CA
Carter MT,Riverside CA
Chouteau MT,Riverside CA
Custer MT,Riverside CA
Deer Lodge MT,Riverside CA
Fergus MT,Riverside CA
Flathead MT,Riverside CA
Gallatin MT,Riverside CA
Garfield MT,Riverside CA
Glacier MT,Riverside CA
Golden Valley MT,Riverside CA
Hill MT,Riverside CA
Jefferson MT,Riverside CA
Judith Basin MT,Riverside CA
Lake MT,Riverside CA
Lewis and Clark MT,Riverside CA
Liberty MT,Riverside CA
Lincoln MT,Riverside CA
Madison MT,Riverside CA
McCone MT,Riverside CA
Meagher MT,Riverside CA
Mineral MT,Riverside CA
Missoula MT,Riverside CA
Musselshell MT,Riverside CA
Petroleum MT,Riverside CA
Phillips MT,Riverside CA
Pondera MT,Riverside CA
Powder River MT,Riverside CA
Powell MT,Riverside CA
Prairie MT,Riverside CA
Ravalli MT,Riverside CA
Rosebud MT,Riverside CA
Silver Bow MT,Riverside CA
Stillwater MT,Riverside CA
Sweet Grass MT,Riverside CA
Teton MT,Riverside CA
Toole MT,Riverside CA
Valley MT,Riverside CA
Yellowstone MT,Riverside CA
Bernalillo NM,Riverside CA
Catron NM,Riverside CA
Chaves NM,Riverside CA
Colfax NM,Riverside CA
De Baca NM,Riverside CA
Doña Ana NM,Riverside CA
Eddy NM,Riverside CA
Grant NM,Riverside CA
Guadalupe NM,Riverside CA
Harding NM,Riverside CA
Hidalgo NM,Riverside CA
Lincoln NM,Riverside CA
Los Alamos NM,Riverside CA
Luna NM,Riverside CA
McKinley NM,Riverside CA
Mora NM,Riverside CA
Rio Arriba NM,Riverside CA
San Juan NM,Riverside CA
San Miguel NM,Riverside CA
Sandoval NM,Riverside CA
Santa Fe NM,Riverside CA
Sierra NM,Riverside CA
Socorro NM,Riverside CA
Torrance NM,Riverside CA
Union NM,Riverside CA
Valencia NM,Riverside CA
Carson City NV,Riverside CA
Churchill NV,Riverside CA
Esmeralda NV,Riverside CA
Eureka NV,Riverside CA
Lander NV,Riverside CA
Lincoln NV,Riverside CA
Lyon NV,Riverside CA
Mineral NV,Riverside CA
Nye NV,Riverside CA
Pershing NV,Riverside CA
Washoe NV,Riverside CA
Benton OR,Riverside CA
Clatsop OR,Riverside CA
Columbia OR,Riverside CA
Coos OR,Riverside CA
Deschutes OR,Riverside CA
Gilliam OR,Riverside CA
Grant OR,Riverside CA
Harney OR,Riverside CA
Jackson OR,Riverside CA
Jefferson OR,Riverside CA
Klamath OR,Riverside CA
Lake OR,Riverside CA
Lane OR,Riverside CA
Lincoln OR,Riverside CA
Linn OR,Riverside CA
Morrow OR,Riverside CA
Polk OR,Riverside CA
Sherman OR,Riverside CA
Tillamook OR,Riverside CA
Umatilla OR,Riverside CA
Washington OR,Riverside CA
Wheeler OR,Riverside CA
Yamhill OR,Riverside CA
Custer SD,Riverside CA
Lawrence SD,Riverside CA
El Paso TX,Riverside CA
Beaver UT,Riverside CA
Box Elder UT,Riverside CA
Cache UT,Riverside CA
Carbon UT,Riverside CA
Daggett UT,Riverside CA
Duchesne UT,Riverside CA
Emery UT,Riverside CA
Garfield UT,Riverside CA
Grand UT,Riverside CA
Iron UT,Riverside CA
Juab UT,Riverside CA
Kane UT,Riverside CA
Millard UT,Riverside CA
Morgan UT,Riverside CA
Piute UT,Riverside CA
Rich UT,Riverside CA
Sanpete UT,Riverside CA
Sevier UT,Riverside CA
Summit UT,Riverside CA
Uintah UT,Riverside CA
Utah UT,Riverside CA
Wasatch UT,Riverside CA
Washington UT,Riverside CA
Wayne UT,Riverside CA
Adams WA,Riverside CA
Asotin WA,Riverside CA
Benton WA,Riverside CA
Chelan WA,Riverside CA
Clark WA,Riverside CA
Columbia WA,Riverside CA
Cowlitz WA,Riverside CA
Ferry WA,Riverside CA
Franklin WA,Riverside CA
Garfield WA,Riverside CA
Island WA,Riverside CA
Kitsap WA,Riverside CA
Kittitas WA,Riverside CA
Klickitat WA,Riverside CA
Lincoln WA,Riverside CA
Pend Oreille WA,Riverside CA
San Juan WA,Riverside CA
Skamania WA,Riverside CA
Snohomish WA,Riverside CA
Thurston WA,Riverside CA
Albany WY,Riverside CA
Big Horn WY,Riverside CA
Campbell WY,Riverside CA
Carbon WY,Riverside CA
Converse WY,Riverside CA
Fremont WY,Riverside CA
Goshen WY,Riverside CA
Hot Springs WY,Riverside CA
Johnson WY,Riverside CA
Lincoln WY,Riverside CA
Natrona WY,Riverside CA
Niobrara WY,Riverside CA
Park WY,Riverside CA
Platte WY,Riverside CA
Sheridan WY,Riverside CA
Sublette WY,Riverside CA
Sweetwater WY,Riverside CA
Teton WY,Riverside CA
Uinta WY,Riverside CA
Washakie WY,Riverside CA
Weston WY,Riverside CA
Gila AZ,Orange CA
Alameda CA,Orange CA
Fresno CA,Orange CA
Glenn CA,Orange CA
Kings CA,Orange CA
Lake CA,Orange CA
Madera CA,Orange CA
Monterey CA,Orange CA
Napa CA,Orange CA
Orange CA,Orange CA
Sacramento CA,Orange CA
San Diego CA,Orange CA
San Joaquin CA,Orange CA
Santa Barbara CA,Orange CA
Shasta CA,Orange CA
Solano CA,Orange CA
Stanislaus CA,Orange CA
Yolo CA,Orange CA
Bent CO,Orange CA
Crowley CO,Orange CA
Denver CO,Orange CA
Fremont CO,Orange CA
Gunnison CO,Orange CA
Larimer CO,Orange CA
Lincoln CO,Orange CA
Mesa CO,Orange CA
Benewah ID,Orange CA
Clearwater ID,Orange CA
Elmore ID,Orange CA
Madison ID,Orange CA
Twin Falls ID,Orange CA
Washington ID,Orange CA
Granite MT,Orange CA
Park MT,Orange CA
Sanders MT,Orange CA
Wheatland MT,Orange CA
Cibola NM,Orange CA
